,0
"https://www.amazon.com/Bed-Head-Artist-Beachy-Generation/dp/B07CSZBWGQ/ref=lp_16225006011_1_1/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-1
",[]
"https://www.amazon.com/Bed-Head-Artist-Beachy-Generation/dp/B07CSZBWGQ/ref=lp_16225006011_1_1/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-1#customerReviews
",[]
"https://www.amazon.com/Revlon-One-Step-Dryer-Volumizer-Brush/dp/B01LSUQSB0/ref=lp_16225006011_1_2/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-2
",[]
"https://www.amazon.com/Revlon-One-Step-Dryer-Volumizer-Brush/dp/B01LSUQSB0/ref=lp_16225006011_1_2_m/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-2
",[]
"https://www.amazon.com/Revlon-One-Step-Dryer-Volumizer-Brush/dp/B01LSUQSB0/ref=lp_16225006011_1_2/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-2#customerReviews
",[]
"https://www.amazon.com/Tree-Hut-Hydrating-Exfoliating-Nourishing/dp/B007DGRT3K/ref=lp_16225006011_1_3/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-3
",[]
"https://www.amazon.com/Tree-Hut-Hydrating-Exfoliating-Nourishing/dp/B007DGRT3K/ref=lp_16225006011_1_3_m/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-3
",[]
"https://www.amazon.com/Tree-Hut-Hydrating-Exfoliating-Nourishing/dp/B007DGRT3K/ref=lp_16225006011_1_3_sns/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-3
",[]
"https://www.amazon.com/Tree-Hut-Hydrating-Exfoliating-Nourishing/dp/B007DGRT3K/ref=lp_16225006011_1_3/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-3#customerReviews
",[]
"https://www.amazon.com/Schick-Multipurpose-Exfoliating-Dermaplaning-Precision/dp/B0787GLBMV/ref=lp_16225006011_1_4/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-4
",[]
"https://www.amazon.com/Schick-Multipurpose-Exfoliating-Dermaplaning-Precision/dp/B0787GLBMV/ref=lp_16225006011_1_4_m/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-4
",[]
"https://www.amazon.com/Schick-Multipurpose-Exfoliating-Dermaplaning-Precision/dp/B0787GLBMV/ref=lp_16225006011_1_4_sns/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-4
",[]
"https://www.amazon.com/gp/offer-listing/B0787GLBMV/ref=lp_16225006011_1_4_olp/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-4&condition=new
",[]
"https://www.amazon.com/Schick-Multipurpose-Exfoliating-Dermaplaning-Precision/dp/B0787GLBMV/ref=lp_16225006011_1_4/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-4#customerReviews
",[]
"https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=lp_16225006011_1_5/147-1466702-9240155?s=beauty-intl-ship&ie=UTF8&qid=1605372292&sr=1-5
",[]
